M03520:605:000000000-LVNKY:1:1104:22453:7259;size=1	A00405_539_HLLNCDSX3_4_1270_8531_32236_1_291_+_32dd2f413d14170786cfdf1c63a90888	95.726	117	5	1.48e-50	189	151
M03520:605:000000000-LVNKY:1:2102:6389:19138;size=1	A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b	100.000	51	0	3.31e-22	95.3	151
M03520:605:000000000-LVNKY:1:2106:7830:7044;size=1	A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729	93.243	148	10	1.88e-59	219	151
M03520:605:000000000-LVNKY:1:1113:24294:24558;size=1	A00405_539_HLLNCDSX3_4_1178_12373_36385_1_292_-_8b8f21f75f2bd01a9ad02d01e5ec2145	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:1110:17906:4781;size=4	A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:1109:17440:6377;size=1	A00405_539_HLLNCDSX3_4_1336_21558_1532_1_283_-_9c65ca1efaa250c583597d0b1dd5745c	98.131	107	2	5.31e-50	187	151
M03520:605:000000000-LVNKY:1:1111:15790:5393;size=1	A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:1101:8280:26457;size=1	A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3	98.529	136	2	4.02e-66	241	151
M03520:605:000000000-LVNKY:1:1107:28231:20855;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	93.023	129	9	1.48e-50	189	151
M03520:605:000000000-LVNKY:1:1107:28231:20855;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	86.755	151	20	1.92e-44	169	151
M03520:605:000000000-LVNKY:1:2106:27028:19373;size=1	A00405_539_HLLNCDSX3_4_1336_21558_1532_1_283_-_9c65ca1efaa250c583597d0b1dd5745c	99.074	108	0	1.14e-51	193	151
